label,source,degree,uri
Software Developers,onet,430,onet_occ_15-1252.00
Software Quality Assurance Analysts and Testers,onet,429,onet_occ_15-1253.00
Information Technology Project Managers,onet,334,onet_occ_15-1299.09
Database Architects,onet,322,onet_occ_15-1243.00
Computer Systems Analysts,onet,311,onet_occ_15-1211.00
Computer Programmers,onet,293,onet_occ_15-1251.00
Database Administrators,onet,288,onet_occ_15-1242.00
Computer Network Architects,onet,278,onet_occ_15-1241.00
Computer Systems Engineers/Architects,onet,267,onet_occ_15-1299.08
Network and Computer Systems Administrators,onet,261,onet_occ_15-1244.00
Computer User Support Specialists,onet,258,onet_occ_15-1232.00
Web Developers,onet,251,onet_occ_15-1254.00
Information Security Analysts,onet,245,onet_occ_15-1212.00
Web and Digital Interface Designers,onet,236,onet_occ_15-1255.00
Business Intelligence Analysts,onet,203,onet_occ_15-2051.01
Computer and Information Research Scientists,onet,164,onet_occ_15-1221.00
Data Warehousing Specialists,onet,159,onet_occ_15-1243.01
Computer Network Support Specialists,onet,142,onet_occ_15-1231.00
Geographic Information Systems Technologists and Technicians,onet,127,onet_occ_15-1299.02
Web Administrators,onet,117,onet_occ_15-1299.01
database developer,esco,116,http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d
Operations Research Analysts,onet,114,onet_occ_15-2031.00
data warehouse designer,esco,110,http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84
software developer,esco,108,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1
Document Management Specialists,onet,106,onet_occ_15-1299.03
web developer,esco,103,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d
database designer,esco,103,http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427
software analyst,esco,101,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86
user interface developer,esco,98,http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c
ICT network engineer,esco,98,http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d
ICT network administrator,esco,98,http://data.europa.eu/esco/occupation/81480b40-a318-47f3-9b2c-56b69ed67d95
ICT system analyst,esco,97,http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471
data scientist,esco,97,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30
ICT system developer,esco,97,http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135
user interface designer,esco,95,http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890
Mathematicians,onet,93,onet_occ_15-2021.00
ICT system architect,esco,92,http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae
system configurator,esco,92,http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0
enterprise architect,esco,91,http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb
ICT application developer,esco,91,http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7
computer scientist,esco,90,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e
Information Security Engineers,onet,90,onet_occ_15-1299.05
industrial mobile devices software developer,esco,89,http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b
artificial intelligence engineer,esco,89,http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8
software architect,esco,89,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e
knowledge engineer,esco,89,http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f
mobile application developer,esco,88,http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c
Data Scientists,onet,87,onet_occ_15-2051.00
integration engineer,esco,87,http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212
digital games developer,esco,82,http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81
chief ICT security officer,esco,81,http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28
software tester,esco,80,http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b
ICT application configurator,esco,79,http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d
embedded system designer,esco,78,http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1
digital forensics expert,esco,77,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424
embedded systems software developer,esco,76,http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02
cyber incident responder,esco,75,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4
ethical hacker,esco,74,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5
cybersecurity risk manager,esco,72,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f
ICT research consultant,esco,72,http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31
Statisticians,onet,70,onet_occ_15-2041.00
Penetration Testers,onet,67,onet_occ_15-1299.04
database administrator,esco,67,http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc
database integrator,esco,67,http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67
data analyst,esco,67,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2
numerical tool and process control programmer,esco,66,http://data.europa.eu/esco/occupation/6e5ceba0-df96-465f-adb4-2e06ae715d43
Digital Forensics Analysts,onet,64,onet_occ_15-1299.06
Health Informatics Specialists,onet,62,onet_occ_15-1211.01
ICT system administrator,esco,60,http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300
blockchain developer,esco,60,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2
ICT security administrator,esco,59,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7
blockchain architect,esco,57,http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4
Video Game Designers,onet,57,onet_occ_15-1255.01
Clinical Data Managers,onet,55,onet_occ_15-2051.02
ICT network architect,esco,55,http://data.europa.eu/esco/occupation/e0b544dd-b621-4126-a55e-054af25c6ea0
web content manager,esco,54,http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027
Telecommunications Engineering Specialists,onet,53,onet_occ_15-1241.01
computer vision engineer,esco,52,http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341
ICT system integration consultant,esco,51,http://data.europa.eu/esco/occupation/bd9d395a-d587-45c6-8d72-ceef226df9e1
Blockchain Engineers,onet,50,onet_occ_15-1299.07
ICT accessibility tester,esco,49,http://data.europa.eu/esco/occupation/50af07f0-7a75-424e-a66d-5a9deea10f4c
ICT capacity planner,esco,48,http://data.europa.eu/esco/occupation/4543bf7b-8ffb-4ade-88b9-58da34366f04
Bioinformatics Technicians,onet,47,onet_occ_15-2099.01
ICT usability tester,esco,47,http://data.europa.eu/esco/occupation/5f50290d-f520-4a69-85c7-1390d2a4a8b6
cloud engineer,esco,45,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e
Biostatisticians,onet,45,onet_occ_15-2041.01
ICT disaster recovery analyst,esco,45,http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c
user experience analyst,esco,45,http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c
ICT auditor manager,esco,42,http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed
Actuaries,onet,42,onet_occ_15-2011.00
ICT system tester,esco,42,http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440
ICT resilience manager,esco,42,http://data.europa.eu/esco/occupation/a99b38bc-6e71-4bef-b127-0f2b5e357815
embedded systems security engineer,esco,41,http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da
data quality specialist,esco,40,http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3
ICT quality assurance manager,esco,39,http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7
ICT consultant,esco,38,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8
digital games tester,esco,38,http://data.europa.eu/esco/occupation/33e4f026-a823-4ffc-99e4-60d3fe597a1e
ICT business analyst,esco,37,http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0
ICT integration tester,esco,37,http://data.europa.eu/esco/occupation/731f38f1-b08f-4dd5-a25e-f8627c038273
IT auditor,esco,37,http://data.europa.eu/esco/occupation/cdd3d773-75a4-4f35-bd1d-1ac720afcf9d
ICT change and configuration manager,esco,36,http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2
ICT test analyst,esco,36,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d
ICT business analysis manager,esco,35,http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f
cloud DevOps engineer,esco,30,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b
data engineer,esco,28,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0
green ICT consultant,esco,27,http://data.europa.eu/esco/occupation/22987b58-dbfa-4ecd-ae3f-82dd209255f6
cloud software developer,esco,27,http://data.europa.eu/esco/occupation/781a6350-e686-45b9-b075-e4c8d5a05ff7
search engine optimisation expert,esco,27,http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef
cloud identity manager,esco,24,http://data.europa.eu/esco/occupation/cc325a8f-702e-4bf0-893f-5b5d456475ad
IoT developer,esco,22,http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a
cloud architect,esco,17,http://data.europa.eu/esco/occupation/2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb
